Target ID,Target Name,Site Center WKT,Site Shape WKT
C40_001,Auckland_NewZealand,POINT(174.769989 -36.837498),"POLYGON((175.216858 -36.477333,174.32312 -36.477333,174.318909 -37.195972,175.221085 -37.195972,175.216858 -36.477333))"
C40_007,Dakar_Senegal,POINT(-17.2 14.75),"POLYGON((-16.82781 15.109027,-17.572191 15.109027,-17.570965 14.390381,-16.829039 14.390381,-16.82781 15.109027))"
C40_008,DaresSalaam_Tanzania,POINT(39.245556 -6.840556),"POLYGON((39.607193 -6.481097,38.883923 -6.481097,38.883377 -7.199744,39.607735 -7.199744,39.607193 -6.481097))"
C40_010,Freetown_SierraLeone,POINT(-13.238889 8.451388),"POLYGON((-12.875274 8.810545,-13.602503 8.810545,-13.601826 8.091897,-12.875951 8.091897,-12.875274 8.810545))"
C40_011,Fuzhou_China,POINT(119.296112 26.070835),"POLYGON((119.697372 26.429607,118.894852 26.429607,118.897301 25.710962,119.694923 25.710962,119.697372 26.429607))"
C40_014,Lisbon_Portugal,POINT(-9.0375 38.705),"POLYGON((-8.57472 39.063419,-9.500281 39.063419,-9.495653 38.34478,-8.579349 38.34478,-8.57472 39.063419))"
C40_015,Medellin_Colombia,POINT(-75.577225 6.261389),"POLYGON((-75.215492 6.620589,-75.938965 6.620589,-75.938461 5.901941,-75.215988 5.901941,-75.215492 6.620589))"
C40_019,Quito_Ecuador,POINT(-78.506386 -0.181389),"POLYGON((-78.147064 0.177938,-78.865715 0.177938,-78.865723 -0.540709,-78.147049 -0.540709,-78.147064 0.177938))"
C40_020,Salvador_Brazil,POINT(-38.428059 -12.919445),"POLYGON((-38.059925 -12.559863,-38.796192 -12.559863,-38.797253 -13.27851,-38.058865 -13.27851,-38.059925 -12.559863))"
C40_022,Abidjan_CotedIvoire,POINT(-4.008333 5.358333),"POLYGON((-3.647213 5.717551,-4.369453 5.717551,-4.369029 4.998904,-3.647638 4.998904,-3.647213 5.717551))"
C40_023,Accra_Ghana,POINT(-0.195556 5.65),"POLYGON((0.165754 6.009212,-0.556865 6.009212,-0.556417 5.290565,0.165306 5.290565,0.165754 6.009212))"
C40_024,Venice_Italy,POINT(12.231944 45.482502),"POLYGON((12.747731 45.840672,11.716157 45.840672,11.722694 45.12204,12.741194 45.12204,12.747731 45.840672))"
C40_027,Curitiba_Brazil,POINT(-49.265278 -25.428888),"POLYGON((-48.868584 -25.069031,-49.661972 -25.069031,-49.664345 -25.787676,-48.866211 -25.787676,-48.868584 -25.069031))"
C40_028,AddisAbaba_Ethiopia,POINT(38.752499 9.018888),"POLYGON((39.116692 9.378034,38.388309 9.378034,38.38903 8.659387,39.115967 8.659387,39.116692 9.378034))"
C40_029,Jaipur_India,POINT(75.787224 26.912222),"POLYGON((76.191483 27.270971,75.382965 27.270971,75.385536 26.552328,76.188919 26.552328,76.191483 27.270971))"
C40_032,Christchurch_NewZealand,POINT(172.545837 -43.528889),"POLYGON((173.038513 -43.168503,172.053162 -43.168503,172.047256 -43.887135,173.044418 -43.887135,173.038513 -43.168503))"
C40_033,Kinhasa_DRCongo,POINT(15.300556 -4.3375),"POLYGON((15.660748 -3.978091,14.940365 -3.978091,14.940022 -4.696738,15.661091 -4.696738,15.660748 -3.978091))"
cal001,railroadValley,POINT(-115.6902 38.497),"POLYGON((-115.575272 38.586777,-115.805122 38.586777,-115.804832 38.407112,-115.575562 38.407112,-115.575272 38.586777))"
cal002,calibration_Algeria4,POINT(5.59 30.04),"POLYGON((5.59 30.04,5.59 30.04,5.59 30.04,5.59 30.04,5.59 30.04))"
cal003,calibration_Niger3,POINT(7.96 21.57),"POLYGON((7.96 21.57,7.96 21.57,7.96 21.57,7.96 21.57,7.96 21.57))"
cal004,calibration_Egypt1,POINT(26.1 27.12),"POLYGON((26.1 27.12,26.1 27.12,26.1 27.12,26.1 27.12,26.1 27.12))"
cal005,calibration_Arabia5,POINT(46.76 18.88),"POLYGON((46.854988 18.969805,46.665009 18.969805,46.665108 18.790142,46.854885 18.790142,46.854988 18.969805))"
cal006,calibration_Algeria1,POINT(-0.4 23.8),"POLYGON((-0.4 23.8,-0.4 23.8,-0.4 23.8,-0.4 23.8,-0.4 23.8))"
cal007,calibration_Mauritania1,POINT(-9.3 19.4),"POLYGON((-9.3 19.4,-9.3 19.4,-9.3 19.4,-9.3 19.4,-9.3 19.4))"
cal008,calibration_Libya4,POINT(23.39 28.55),"POLYGON((23.39 28.55,23.39 28.55,23.39 28.55,23.39 28.55,23.39 28.55))"
cal009,calibration_Algeria2,POINT(-1.38 26.09),"POLYGON((-1.38 26.09,-1.38 26.09,-1.38 26.09,-1.38 26.09,-1.38 26.09))"
cal010,calibration_Niger1,POINT(9.81 19.67),"POLYGON((9.81 19.67,9.81 19.67,9.81 19.67,9.81 19.67,9.81 19.67))"
cal011,calibration_Mauritania2,POINT(-8.78 20.85),"POLYGON((-8.78 20.85,-8.78 20.85,-8.78 20.85,-8.78 20.85,-8.78 20.85))"
coccon100,val_Thessaloniki_Greece,POINT(22.97 40.63),"POLYGON((22.97 40.53994714361965,22.97 40.72005144764703,22.97 40.72005144764703,22.97 40.53994714361965,22.97 40.53994714361965))"
coccon101,val_Gobabeb_Namibia,POINT(15.04 -23.56),"POLYGON((15.03999999999999 -23.6502913724985,15.03999999999999 -23.46970757937232,15.03999999999999 -23.46970757937232,15.03999999999999 -23.6502913724985,15.03999999999999 -23.6502913724985))"
coccon102,val_Biust_Botswana,POINT(27.12 -22.59),"POLYGON((27.12 -22.68030247023841,27.12 -22.4996965150162,27.12 -22.4996965150162,27.12 -22.68030247023841,27.12 -22.68030247023841))"
coccon103,val_Jinja_Uganda,POINT(33.209 0.503),"POLYGON((33.209 0.4125631104551672,33.209 0.593436864378323,33.209 0.593436864378323,33.209 0.4125631104551672,33.209 0.4125631104551672))"
